Português,Inglês
Não.,No.
Certo.,Right.
Vamos.,Let's go.
Obrigado.,Thanks.
Tudo bem.,All good.
Sim?,Yes?
Está bem.,He is well.
Obrigada.,Thanks.
Oi.,Hey.
É.,AND.
Claro.,Clear.
Por quê?,Why?
Olá.,Hello.
Meu Deus!,My God!
Eu sei.,I know.
Não sei.,I don't know.
Desculpe.,Sorry.
Por favor.,Please.
Sério?,Serious?
Ótimo.,Excellent.
Ei!,Hey!
Espere.,Hang on.
Você está bem?,Are you well?
O que é isso?,What is that?
Merda!,Shit!
Sinto muito.,I am really sorry.
Ok.,OK.
Bem...,Good...
Eu...,I...
Nada.,Anything.
Pare!,Stop!
Está tudo bem.,Everything is fine.
O que?,What?
Vamos lá.,Let's go.
Eu não sei.,I don't know.
Droga!,Damn it!
O que foi?,What it was?
Alô?,Hello?
"Não, não.",No no.
Isso.,That.
O que está fazendo?,What are you doing?
Muito bem.,Very good.
Como?,As?
Agora!,Now!
Com licença.,Excuse me.
Aqui.,Here.
Tchau.,Goodbye.
Bom.,Good.
Então...,Then...
Oh!,Oh!
Boa noite.,Goodnight.
O que aconteceu?,What happened?
Venha.,Come.
Bom dia.,Good morning.
Quem?,Who?
Você.,You.
Não se preocupe.,Don't worry.
É mesmo?,And even?
Pai!,Father!
O que está acontecendo?,What is happening?
Mãe!,Mother!
Eu também.,Me too.
Isso mesmo.,That's right.
Por que não?,Why not?
Quem é você?,Who are you?
Senhor.,Sir.
Pronto.,Ready.
Vai!,Go!
E você?,And you?
Estou bem.,I am fine.
Legal.,Cool.
Como assim?,Like this?
Socorro!,Help!
Cuidado!,Careful!
Entre.,In between.
Tem certeza?,He is sure?
E?,AND?
É verdade.,And truth.
Vá.,Go.
Talvez.,Perhaps.
O que é?,What is it?
Sente-se.,Sit down.
"Não, não, não.","No, no, no."
Deus!,God!
Onde?,Where?
Rápido!,Fast!
Não posso.,I can't.
"Oh, meu Deus.",Oh my God.
É isso.,And that.
Nossa!,Our!
O que houve?,What there was?
Muito obrigado.,Thank you very much.
Como vai?,How are you?
Quer saber?,Wants to know?
Adeus.,Goodbye.
Aqui está.,Here it is.
Exatamente.,Exactly.
Espera.,Wait.
Qual é?,What it is?
Ah!,Ah!
Entendeu?,Did you understand?
Mesmo?,Same?
Papai!,Daddy!
Eu te amo.,I love you.
Quem é?,Who is it?
Desculpa.,Sorry.
Estou.,I am.
Do que está falando?,What you mean?
O que quer dizer?,What you mean?
Calma.,Calm.
"Sim, claro.",Yes of course.
Srta.,MS.
Com certeza.,For sure.
Entendo.,I understand.
Por que?,Why?
Parabéns.,Congratulations.
Verdade?,True?
Olhe.,Look.
Porra!,Cum!
Venha aqui.,Come here.
E daí?,And?
Entendi.,I understood.
Mamãe!,Mommy!
Jesus!,Jesus!
Viu?,It saw?
Que bom.,Great.
Claro que não.,Of course.
Por aqui.,This way.
Acho que sim.,I think so.
Me desculpe.,I'm sorry.
Não é?,It is not?
O que você está fazendo?,What are you doing?
O que você quer?,What do you want?
Ainda não.,Not yet.
Uau!,Wow!
Boa sorte.,Good luck.
Cale a boca!,Shut up!
De nada.,You are welcome.
OK.,OK.
Sou eu.,It is me.
Nunca.,Never.
Saia!,Skirt!
Não importa.,It doesn't matter.
Eu não.,I am not.
Sabe?,He knows?
É claro.,It is clear.
"Sim, sim.",Yes yes.
Veja.,Look.
"Não, obrigado.",No thanks.
Acho que não.,I don't think so.
Depressa!,Quickly!
Desculpe-me.,Pardon me.
O que está havendo?,What is happening?
Está brincando?,Is playing?
Eu sinto muito.,I'm very sorry.
O que está fazendo aqui?,What are you doing here?
Vá em frente.,Go ahead.
É isso aí.,That's it.
Perfeito.,Perfect.
Muito bom.,Very good.
Caramba!,Damn!
Continue.,Continues.
Olha.,Look.
